country,co2_per_capita,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,gdp,cluster,cluster_label
Algeria,0.533,4.487,95.513,4.487,35661973735.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,0.669,3.313,96.687,3.313,33932634033.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,0.655,4.042,95.958,4.042,37094770661.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,0.687,5.171,94.829,5.171,41423886061.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,0.836,2.996,97.004,2.996,45387458950.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,1.093,4.395,95.605,4.395,49945666845.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,1.322,2.311,97.689,2.311,45701215972.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,1.962,3.086,96.914,3.086,55293908511.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.59,3.933,96.067,3.933,57097847688.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.104,2.347,97.653,2.347,60577884755.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.039,1.296,98.704,1.296,64883812851.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.381,1.317,98.683,1.317,69150103648.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.454,0.829,99.171,0.829,75438035015.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.559,0.613,99.387,0.613,85103913585.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.512,0.544,99.456,0.544,92753892187.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.554,0.403,99.597,0.403,94481648187.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.393,0.473,99.527,0.473,96860512464.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,1.953,0.536,99.464,0.536,103073663847.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.533,0.241,99.759,0.241,108430390837.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.31,0.483,99.517,0.483,114406671796.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.271,0.684,99.316,0.684,120364208777.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.314,0.25,99.75,0.25,119145030269.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.541,0.486,99.514,0.486,118321211437.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.436,0.166,99.834,0.166,115821713281.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.189,0.211,99.789,0.211,119762433617.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.991,0.119,99.881,0.119,117843179781.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.0,0.261,99.739,0.261,121105141795.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.977,0.173,99.827,0.173,127982696018.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.981,0.329,99.671,0.329,130275774703.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.15,0.153,99.847,0.153,134279859768.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.369,0.171,99.829,0.171,145054664533.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.429,0.121,99.879,0.121,156579113896.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.959,0.07,99.93,0.07,164644463404.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,3.518,0.194,99.806,0.194,179962887740.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.973,0.181,99.819,0.181,193179776879.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.736,0.05,99.95,0.05,208554150552.0,0,"Moderate CO₂, Fossil-heavy"
Algeria,2.745,0.061,99.939,0.061,223420294027.0,0,"Moderate CO₂, Fossil-heavy"
