country,year,source,share
Afghanistan,1949,renewables_share_energy,
Afghanistan,1950,renewables_share_energy,
Afghanistan,1951,renewables_share_energy,
Afghanistan,1952,renewables_share_energy,
Afghanistan,1953,renewables_share_energy,
Afghanistan,1954,renewables_share_energy,
Afghanistan,1955,renewables_share_energy,
Afghanistan,1956,renewables_share_energy,
Afghanistan,1957,renewables_share_energy,
Afghanistan,1958,renewables_share_energy,
Afghanistan,1959,renewables_share_energy,
Afghanistan,1960,renewables_share_energy,
Afghanistan,1961,renewables_share_energy,
Afghanistan,1962,renewables_share_energy,
Afghanistan,1963,renewables_share_energy,
Afghanistan,1964,renewables_share_energy,
Afghanistan,1965,renewables_share_energy,
Afghanistan,1966,renewables_share_energy,
Afghanistan,1967,renewables_share_energy,
Afghanistan,1968,renewables_share_energy,
Afghanistan,1969,renewables_share_energy,
Afghanistan,1970,renewables_share_energy,
Afghanistan,1971,renewables_share_energy,
Afghanistan,1972,renewables_share_energy,
Afghanistan,1973,renewables_share_energy,
Afghanistan,1974,renewables_share_energy,
Afghanistan,1975,renewables_share_energy,
Afghanistan,1976,renewables_share_energy,
Afghanistan,1977,renewables_share_energy,
Afghanistan,1978,renewables_share_energy,
Afghanistan,1979,renewables_share_energy,
Afghanistan,1980,renewables_share_energy,
Afghanistan,1981,renewables_share_energy,
Afghanistan,1982,renewables_share_energy,
Afghanistan,1983,renewables_share_energy,
Afghanistan,1984,renewables_share_energy,
Afghanistan,1985,renewables_share_energy,
Afghanistan,1986,renewables_share_energy,
Afghanistan,1987,renewables_share_energy,
Afghanistan,1988,renewables_share_energy,
Afghanistan,1989,renewables_share_energy,
Afghanistan,1990,renewables_share_energy,
Afghanistan,1991,renewables_share_energy,
Afghanistan,1992,renewables_share_energy,
Afghanistan,1993,renewables_share_energy,
Afghanistan,1994,renewables_share_energy,
Afghanistan,1995,renewables_share_energy,
Afghanistan,1996,renewables_share_energy,
Afghanistan,1997,renewables_share_energy,
Afghanistan,1998,renewables_share_energy,
Afghanistan,1999,renewables_share_energy,
Afghanistan,2000,renewables_share_energy,
Afghanistan,2001,renewables_share_energy,
Afghanistan,2002,renewables_share_energy,
Afghanistan,2003,renewables_share_energy,
Afghanistan,2004,renewables_share_energy,
Afghanistan,2005,renewables_share_energy,
Afghanistan,2006,renewables_share_energy,
Afghanistan,2007,renewables_share_energy,
Afghanistan,2008,renewables_share_energy,
Afghanistan,2009,renewables_share_energy,
Afghanistan,2010,renewables_share_energy,
Afghanistan,2011,renewables_share_energy,
Afghanistan,2012,renewables_share_energy,
Afghanistan,2013,renewables_share_energy,
Afghanistan,2014,renewables_share_energy,
Afghanistan,2015,renewables_share_energy,
Afghanistan,2016,renewables_share_energy,
Afghanistan,2017,renewables_share_energy,
Afghanistan,2018,renewables_share_energy,
Afghanistan,2019,renewables_share_energy,
Afghanistan,2020,renewables_share_energy,
Afghanistan,2021,renewables_share_energy,
Afghanistan,2022,renewables_share_energy,
Afghanistan,2023,renewables_share_energy,
Albania,1933,renewables_share_energy,
Albania,1934,renewables_share_energy,
Albania,1935,renewables_share_energy,
Albania,1936,renewables_share_energy,
Albania,1937,renewables_share_energy,
Albania,1938,renewables_share_energy,
Albania,1939,renewables_share_energy,
Albania,1940,renewables_share_energy,
Albania,1941,renewables_share_energy,
Albania,1942,renewables_share_energy,
Albania,1943,renewables_share_energy,
Albania,1944,renewables_share_energy,
Albania,1945,renewables_share_energy,
Albania,1946,renewables_share_energy,
Albania,1947,renewables_share_energy,
Albania,1948,renewables_share_energy,
Albania,1949,renewables_share_energy,
Albania,1950,renewables_share_energy,
Albania,1951,renewables_share_energy,
Albania,1952,renewables_share_energy,
Albania,1953,renewables_share_energy,
Albania,1954,renewables_share_energy,
Albania,1955,renewables_share_energy,
Albania,1956,renewables_share_energy,
Albania,1957,renewables_share_energy,
Albania,1958,renewables_share_energy,
