country,year,actual,forecast,lower,upper
United States,1900,664.132,,,
United States,1901,723.192,,,
United States,1902,766.652,,,
United States,1903,896.953,,,
United States,1904,884.803,,,
United States,1905,989.991,,,
United States,1906,1039.964,,,
United States,1907,1208.486,,,
United States,1908,1057.522,,,
United States,1909,1171.651,,,
United States,1910,1278.53,,,
United States,1911,1265.776,,,
United States,1912,1351.018,,,
United States,1913,1450.855,,,
United States,1914,1325.944,,,
United States,1915,1375.452,,,
United States,1916,1527.24,,,
United States,1917,1679.331,,,
United States,1918,1754.117,,,
United States,1919,1486.433,,,
United States,1920,1747.167,,,
United States,1921,1432.479,,,
United States,1922,1446.013,,,
United States,1923,1909.034,,,
United States,1924,1711.687,,,
United States,1925,1758.185,,,
United States,1926,1906.048,,,
United States,1927,1862.839,,,
United States,1928,1830.965,,,
United States,1929,1963.506,,,
United States,1930,1744.916,,,
United States,1931,1484.959,,,
United States,1932,1257.814,,,
United States,1933,1348.877,,,
United States,1934,1436.239,,,
United States,1935,1492.321,,,
United States,1936,1713.412,,,
United States,1937,1792.61,,,
United States,1938,1515.75,,,
United States,1939,1670.92,,,
United States,1940,1874.985,,,
United States,1941,2043.585,,,
United States,1942,2198.265,,,
United States,1943,2272.059,,,
United States,1944,2444.904,,,
United States,1945,2359.552,,,
United States,1946,2257.494,,,
United States,1947,2485.854,,,
United States,1948,2582.559,,,
United States,1949,2164.862,,,
United States,1950,2541.485,,,
United States,1951,2618.704,,,
United States,1952,2551.216,,,
United States,1953,2612.971,,,
United States,1954,2489.462,,,
United States,1955,2728.508,,,
United States,1956,2859.988,,,
United States,1957,2835.772,,,
United States,1958,2747.108,,,
United States,1959,2831.908,,,
United States,1960,2897.308,,,
United States,1961,2886.862,,,
United States,1962,2993.898,,,
United States,1963,3126.484,,,
United States,1964,3264.306,,,
United States,1965,3399.539,,,
United States,1966,3571.417,,,
United States,1967,3705.461,,,
United States,1968,3840.923,,,
United States,1969,4035.156,,,
United States,1970,4339.704,,,
United States,1971,4365.483,,,
United States,1972,4573.034,,,
United States,1973,4777.725,,,
United States,1974,4608.462,,,
United States,1975,4414.455,,,
United States,1976,4621.539,,,
United States,1977,4749.501,,,
United States,1978,4897.339,,,
United States,1979,4908.766,,,
United States,1980,4730.218,,,
United States,1981,4543.633,,,
United States,1982,4311.918,,,
United States,1983,4346.381,,,
United States,1984,4479.379,,,
United States,1985,4495.378,,,
United States,1986,4498.136,,,
United States,1987,4691.93,,,
United States,1988,4897.776,,,
United States,1989,4960.238,,,
United States,1990,5131.761,,,
United States,1991,5076.413,,,
United States,1992,5178.77,,,
United States,1993,5279.52,,,
United States,1994,5361.863,,,
United States,1995,5425.837,,,
United States,1996,5601.094,,,
United States,1997,5673.144,,,
United States,1998,5736.36,,,
United States,1999,5800.281,,,
United States,2000,6023.158,,,
United States,2001,5903.562,,,
United States,2002,5947.819,,,
United States,2003,6006.44,,,
United States,2004,6111.545,,,
United States,2005,6126.903,,,
United States,2006,6045.326,,,
United States,2007,6121.542,,,
United States,2008,5919.221,,,
United States,2009,5486.104,,,
United States,2010,5669.25,,,
United States,2011,5538.973,,,
United States,2012,5331.467,,,
United States,2013,5473.436,,,
United States,2014,5531.385,,,
United States,2015,5368.497,,,
United States,2016,5245.362,,,
United States,2017,5195.417,,,
United States,2018,5361.236,,,
United States,2019,5235.912,,,
United States,2020,4689.954,,,
United States,2021,5020.111,,,
United States,2022,5055.403,,,
United States,2023,4918.407,,,
United States,2024,4904.12,,,
United States,2025,,75.20556139213933,58.214970057177304,91.95985346333478
United States,2026,,75.7675394494889,59.63565027954118,92.24194935117018
United States,2027,,76.32951750683846,60.39895560316278,94.2430696968008
United States,2028,,76.89303523009859,61.59806522444774,94.05921850597257
United States,2029,,77.45501328744815,60.245600982509444,94.88934427533391
United States,2030,,78.01699134479772,61.05563827347164,94.99135003421544
United States,2031,,78.5789694021473,61.44523768368303,95.46609465658358
United States,2032,,79.14248712540741,61.67311982106893,94.62034916998488
United States,2033,,79.70446518275698,63.26008112280332,96.81543286880675
United States,2034,,80.26644324010655,63.86860828589276,97.26992601295801
United States,2035,,80.82842129745613,64.31917985631868,96.41196600639519
United States,2036,,81.39193902071624,64.9750002175342,98.26419261561334
United States,2037,,81.9539170780658,64.71443466161034,99.82993203587775
United States,2038,,82.51589513541538,64.92653372705045,98.79810240294584
